DATE,USEPUINDXM
1/1/2000,89.20154
2/1/2000,77.60139
3/1/2000,77.54831
4/1/2000,76.05923
5/1/2000,97.98621
6/1/2000,92.96502
7/1/2000,79.44698
8/1/2000,66.58134
9/1/2000,75.14165
10/1/2000,84.66173
11/1/2000,125.06754
12/1/2000,115.26872
1/1/2001,111.41604
2/1/2001,110.91785
3/1/2001,116.02695
4/1/2001,122.67341
5/1/2001,100.42902
6/1/2001,86.39027
7/1/2001,102.13185
8/1/2001,84.28912
9/1/2001,188.05949
10/1/2001,173.14337
11/1/2001,130.57564
12/1/2001,117.23659
1/1/2002,116.83746
2/1/2002,87.60069
3/1/2002,83.44043
4/1/2002,88.5661
5/1/2002,86.29886
6/1/2002,93.61022
7/1/2002,110.30517
8/1/2002,116.01482
9/1/2002,124.04314
10/1/2002,111.88597
11/1/2002,123.28438
12/1/2002,122.22167
1/1/2003,138.9534
2/1/2003,126.72774
3/1/2003,163.5238
4/1/2003,135.62755
5/1/2003,102.61982
6/1/2003,95.8273
7/1/2003,91.74151
8/1/2003,95.67181
9/1/2003,106.11576
10/1/2003,88.04379
11/1/2003,84.91824
12/1/2003,91.73699
1/1/2004,96.56646
2/1/2004,99.4573
3/1/2004,96.78947
4/1/2004,94.11528
5/1/2004,92.32118
6/1/2004,85.34598
7/1/2004,87.54419
8/1/2004,85.92587
9/1/2004,100.01189
10/1/2004,105.69511
11/1/2004,95.24085
12/1/2004,77.59644
1/1/2005,73.91848
2/1/2005,58.95005
3/1/2005,57.55796
4/1/2005,74.56597
5/1/2005,70.50812
6/1/2005,74.56133
7/1/2005,68.71645
8/1/2005,64.39586
9/1/2005,91.40606
10/1/2005,76.16368
11/1/2005,72.21599
12/1/2005,78.04893
1/1/2006,79.17535
2/1/2006,72.69299
3/1/2006,64.22933
4/1/2006,79.76153
5/1/2006,70.83626
6/1/2006,79.49433
7/1/2006,80.56231
8/1/2006,72.76997
9/1/2006,67.06754
10/1/2006,63.46447
11/1/2006,62.51984
12/1/2006,63.37041
1/1/2007,79.01967
2/1/2007,57.20262
3/1/2007,69.88729
4/1/2007,62.5017
5/1/2007,74.68187
6/1/2007,73.29654
7/1/2007,59.32398
8/1/2007,89.10405
9/1/2007,100.74438
10/1/2007,89.45453
11/1/2007,102.44111
12/1/2007,108.5438
1/1/2008,144.98473
2/1/2008,108.10469
3/1/2008,111.71236
4/1/2008,102.19691
5/1/2008,94.28403
6/1/2008,94.55676
7/1/2008,109.78897
8/1/2008,95.87076
9/1/2008,187.74031
10/1/2008,189.91728
11/1/2008,148.84258
12/1/2008,145.99467
1/1/2009,171.94623
2/1/2009,187.11403
3/1/2009,166.90338
4/1/2009,131.85612
5/1/2009,138.80585
6/1/2009,130.93349
7/1/2009,126.28215
8/1/2009,152.55009
9/1/2009,145.44437
10/1/2009,138.13055
11/1/2009,116.16232
12/1/2009,121.22102
1/1/2010,149.35928
2/1/2010,132.79865
3/1/2010,137.47002
4/1/2010,137.07739
5/1/2010,151.10342
6/1/2010,140.56915
7/1/2010,180.01445
8/1/2010,147.3091
9/1/2010,182.1467
10/1/2010,163.42491
11/1/2010,179.13557
12/1/2010,165.40785
1/1/2011,142.17046
2/1/2011,145.5089
3/1/2011,174.35437
4/1/2011,157.4959
5/1/2011,126.19207
6/1/2011,158.08862
7/1/2011,197.91635
8/1/2011,245.12672
9/1/2011,204.62979
10/1/2011,159.73958
11/1/2011,166.33902
12/1/2011,189.39836
1/1/2012,178.28653
2/1/2012,149.63708
3/1/2012,137.55312
4/1/2012,136.59669
5/1/2012,158.56197
6/1/2012,194.61058
7/1/2012,184.8797
8/1/2012,152.35345
9/1/2012,175.27705
10/1/2012,165.94449
11/1/2012,187.49065
12/1/2012,192.82516
1/1/2013,157.53331
2/1/2013,114.65411
3/1/2013,124.94081
4/1/2013,118.71048
5/1/2013,104.30455
6/1/2013,114.61613
7/1/2013,94.03991
8/1/2013,102.77068
9/1/2013,144.40178
10/1/2013,171.02225
11/1/2013,89.90614
12/1/2013,104.60212
1/1/2014,93.50074
2/1/2014,88.98534
3/1/2014,93.4676
4/1/2014,91.11802
5/1/2014,90.39224
6/1/2014,81.00762
7/1/2014,76.64491
8/1/2014,71.26215
9/1/2014,84.33692
10/1/2014,100.20665
11/1/2014,88.56004
12/1/2014,85.1875
1/1/2015,117.16062
2/1/2015,100.31974
3/1/2015,105.21815
4/1/2015,109.64379
5/1/2015,101.01895
6/1/2015,108.9528
7/1/2015,98.91843
8/1/2015,129.69531
9/1/2015,138.72168
10/1/2015,102.89401
11/1/2015,92.10043
12/1/2015,99.34261
1/1/2016,119.01518
2/1/2016,114.62456
3/1/2016,104.19081
4/1/2016,84.25134
5/1/2016,82.04127
6/1/2016,162.62912
7/1/2016,121.96465
8/1/2016,91.8289
9/1/2016,79.80896
10/1/2016,92.51784
11/1/2016,169.37782
12/1/2016,115.15205
1/1/2017,134.86954
2/1/2017,133.33147
3/1/2017,119.77617
4/1/2017,121.57059
5/1/2017,104.17097
6/1/2017,98.75896
7/1/2017,110.75359
8/1/2017,109.17826
9/1/2017,96.75076
10/1/2017,102.16058
11/1/2017,94.4896
12/1/2017,111.49722
1/1/2018,123.65156
2/1/2018,94.00742
3/1/2018,136.33432
4/1/2018,108.21374
5/1/2018,124.93665
6/1/2018,108.6274
7/1/2018,133.08626
8/1/2018,99.13562
9/1/2018,102.6602
10/1/2018,111.51256
11/1/2018,130.22386
12/1/2018,166.2868
1/1/2019,201.032
2/1/2019,106.90066
3/1/2019,140.24738
4/1/2019,98.73669
5/1/2019,122.53876
6/1/2019,150.11678
7/1/2019,149.9729
8/1/2019,190.46324
9/1/2019,134.36179
10/1/2019,118.48822
11/1/2019,131.7507
12/1/2019,143.46724
1/1/2020,131.39111
2/1/2020,160.51564
3/1/2020,283.14722
4/1/2020,268.61639
5/1/2020,350.45984
6/1/2020,231.25978
7/1/2020,305.96353
8/1/2020,224.42636
9/1/2020,218.05827
10/1/2020,249.17361
11/1/2020,246.70712
12/1/2020,246.12613
1/1/2021,207.91243
2/1/2021,151.93289
3/1/2021,139.80121
4/1/2021,124.88953
5/1/2021,147.01584
6/1/2021,133.57886
7/1/2021,152.9109
8/1/2021,133.81454
9/1/2021,142.06764
10/1/2021,121.9515
11/1/2021,151.31949
12/1/2021,164.87509
