"Quarter","Origin","Arrivals"
1981 Q1,"US",32316
1981 Q2,"US",23721
1981 Q3,"US",24533
1981 Q4,"US",33438
1982 Q1,"US",33527
1982 Q2,"US",28366
1982 Q3,"US",30856
1982 Q4,"US",33293
1983 Q1,"US",32472
1983 Q2,"US",32369
1983 Q3,"US",37476
1983 Q4,"US",38112
1984 Q1,"US",42553
1984 Q2,"US",41277
1984 Q3,"US",33056
1984 Q4,"US",44472
1985 Q1,"US",47792
1985 Q2,"US",43070
1985 Q3,"US",41116
1985 Q4,"US",65428
1986 Q1,"US",59377
1986 Q2,"US",53283
1986 Q3,"US",48510
1986 Q4,"US",85878
1987 Q1,"US",84130
1987 Q2,"US",64346
1987 Q3,"US",65976
1987 Q4,"US",96165
1988 Q1,"US",78609
1988 Q2,"US",69306
1988 Q3,"US",86267
1988 Q4,"US",92738
1989 Q1,"US",73321
1989 Q2,"US",59819
1989 Q3,"US",60868
1989 Q4,"US",67761
1990 Q1,"US",67637
1990 Q2,"US",56153
1990 Q3,"US",58783
1990 Q4,"US",69018
1991 Q1,"US",63235
1991 Q2,"US",56691
1991 Q3,"US",85473
1991 Q4,"US",66332
1992 Q1,"US",69861
1992 Q2,"US",61501
1992 Q3,"US",57869
1992 Q4,"US",73632
1993 Q1,"US",76323
1993 Q2,"US",62718
1993 Q3,"US",64730
1993 Q4,"US",77495
1994 Q1,"US",81428
1994 Q2,"US",63554
1994 Q3,"US",66505
1994 Q4,"US",78190
1995 Q1,"US",83047
1995 Q2,"US",67448
1995 Q3,"US",69234
1995 Q4,"US",85160
1996 Q1,"US",84995
1996 Q2,"US",71005
1996 Q3,"US",71412
1996 Q4,"US",89483
1997 Q1,"US",87405
1997 Q2,"US",73061
1997 Q3,"US",79986
1997 Q4,"US",89141
1998 Q1,"US",101167
1998 Q2,"US",85384
1998 Q3,"US",82586
1998 Q4,"US",104760
1999 Q1,"US",113860
1999 Q2,"US",92494
1999 Q3,"US",95001
1999 Q4,"US",115704
2000 Q1,"US",118840
2000 Q2,"US",107313
2000 Q3,"US",131833
2000 Q4,"US",130100
2001 Q1,"US",126702
2001 Q2,"US",113471
2001 Q3,"US",105239
2001 Q4,"US",101058
2002 Q1,"US",121127
2002 Q2,"US",97016
2002 Q3,"US",102261
2002 Q4,"US",114103
2003 Q1,"US",112908
2003 Q2,"US",94212
2003 Q3,"US",102961
2003 Q4,"US",112039
2004 Q1,"US",114017
2004 Q2,"US",101065
2004 Q3,"US",105884
2004 Q4,"US",112335
2005 Q1,"US",122725
2005 Q2,"US",104542
2005 Q3,"US",107725
2005 Q4,"US",111286
2006 Q1,"US",123608
2006 Q2,"US",109865
2006 Q3,"US",107787
2006 Q4,"US",114824
2007 Q1,"US",124677
2007 Q2,"US",108089
2007 Q3,"US",107738
2007 Q4,"US",119189
2008 Q1,"US",128066
2008 Q2,"US",99471
2008 Q3,"US",111243
2008 Q4,"US",115636
2009 Q1,"US",119158
2009 Q2,"US",105507
2009 Q3,"US",118979
2009 Q4,"US",136094
2010 Q1,"US",127535
2010 Q2,"US",105974
2010 Q3,"US",111615
2010 Q4,"US",127002
2011 Q1,"US",125264
2011 Q2,"US",101814
2011 Q3,"US",101925
2011 Q4,"US",127150
2012 Q1,"US",129520
2012 Q2,"US",105700
2012 Q3,"US",106540
