Weeks,Cases
1,588
2,635
3,405
4,425
5,452
6,310
7,615
8,429
9,484
10,414
11,269
12,314
13,582
14,2295
15,1241
16,804
17,547
18,597
19,1544
20,851
21,644
22,640
23,462
24,528
25,546
26,515
27,418
28,444
29,369
30,359
31,412
32,342
33,341
34,549
35,465
36,518
37,485
38,507
39,495
40,619
41,658
42,576
43,627
44,640
45,540
46,647
47,600
48,573
49,215
50,666
51,365
52,449
53,429
54,427
55,545
56,412
57,391
58,294
59,399
60,332
61,349
62,189
63,431
64,503
65,566
66,608
67,618
68,604
69,597
70,688
71,621
72,542
73,632
74,429
75,525
76,553
77,391
78,706
79,397
80,465
81,573
82,481
83,813
84,583
85,812
86,729
87,472
88,242
89,276
90,317
91,459
92,463
93,504
94,596
95,729
96,693
97,707
98,873
99,637
100,665
101,633
102,886
103,596
104,858
105,589
106,535
107,309
108,1085
109,797
110,629
111,708
112,434
113,553
114,885
115,581
116,601
117,375
118,699
119,688
120,900
121,651
122,1611
123,1031
124,1036
125,835
126,1056
127,973
128,772
129,742
130,778
131,780
132,896
133,934
134,917
135,917
136,1040
137,1215
138,865
139,982
140,930
141,776
142,692
143,631
144,794
145,735
146,745
147,698
148,919
149,758
150,751
151,783
152,947
153,939
154,869
155,690
156,926
157,1005
158,963
159,1030
160,1066
161,997
162,1171
163,1121
164,1235
165,1037
166,1084
167,934
168,1152
169,1368
170,1656
171,1516
172,1642
173,1540
174,1447
175,1237
176,1328
177,922
178,753
179,1101
180,923
181,736
182,679
183,852
184,924
185,894
186,953
187,814
188,817
189,751
190,922
191,751
192,873
193,679
194,761
195,756
196,709
197,673
198,647
199,658
200,677
201,681
202,518
203,669
204,623
205,608
206,600
207,596
208,625
209,757
210,776
211,773
212,618
213,756
214,702
215,947
216,767
217,428
218,622
219,592
220,723
221,875
222,943
223,704
224,760
225,812
226,694
227,638
228,635
229,581
230,653
231,505
232,633
233,469
234,662
235,752
236,603
237,695
238,808
239,792
240,801
241,749
242,608
243,512
244,585
245,644
246,605
247,611
248,659
249,688
250,790
251,614
252,783
253,701
254,832
255,803
256,757
257,700
258,866
259,702
260,771
261,812
262,807
263,791
264,623
265,876
266,529
267,700
268,823
269,676
270,648
271,894
272,1190
273,978
274,1256
275,1143
276,1149
277,973
278,801
279,972
280,647
281,738
282,722
283,679
284,589
285,884
286,991
287,1058
288,809
289,708
290,831
291,857
292,714
293,789
294,746
295,985
296,834
297,732
298,693
299,782
300,745
301,688
302,752
303,674
304,783
305,710
306,560
307,664
308,805
309,726
310,782
311,693
312,776
313,857
314,737
315,797
316,714
317,701
318,506
319,584
320,621
321,516
322,409
323,536
324,720
325,845
326,1014
327,753
328,695
329,833
330,832
331,640
332,927
333,760
334,540
335,908
336,558
337,562
338,505
339,449
340,348
341,484
342,507
343,449
344,375
345,456
346,523
347,589
348,521
349,453
350,500
351,554
352,477
353,442
354,473
355,589
356,461
357,491
358,540
359,615
360,645
361,523
362,503
363,592
364,773
365,770
366,667
367,655
368,638
369,654
370,622
371,705
372,678
373,571
374,416
375,318
376,621
377,676
378,684
379,771
380,549
381,477
382,524
383,509
384,531
385,558
386,519
387,477
388,475
389,421
390,548
391,516
392,410
393,423
394,477
395,440
396,455
397,549
398,602
399,483
400,488
401,657
402,911
403,825
404,669
405,687
406,742
407,953
408,802
409,832
410,879
411,950
412,915
413,1004
414,1108
415,926
416,859
417,852
418,716
419,814
420,935
421,847
422,970
423,894
424,680
425,514
426,330
427,1061
428,844
429,849
430,951
431,1239
432,1192
433,1007
434,744
435,1065
436,1180
437,922
438,864
439,999
440,861
441,1358
442,1139
443,1129
444,1198
445,1356
446,1452
447,1252
448,1279
449,1485
450,1407
451,1333
452,1076
453,1027
454,868
455,834
456,1005
457,726
458,587
459,607
460,657
461,712
462,493
463,558
464,593
465,601
466,475
467,551
468,483
469,510
470,601
471,417
472,549
473,555
474,662
475,567
476,593
477,544
478,438
479,475
480,634
481,600
482,660
483,731
484,846
485,922
486,892
487,866
488,761
489,827
490,1026
491,1041
492,1040
493,740
494,543
495,552
496,697
497,618
498,826
499,951
500,934
501,1074
502,1143
503,976
504,1045
505,982
506,1022
507,940
508,848
509,848
510,947
511,749
512,812
513,817
514,975
515,842
516,887
517,1021
518,964
519,906
520,856
521,965
522,976
523,1125
524,1133
525,886
526,1056
